# Force and moment coefficients
# dragDir     : (9.396927e-01 3.420199e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-3.420199e-01 9.396927e-01 0.000000e+00)
# rollAxis    : (9.396927e-01 3.420199e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-3.420199e-01 9.396927e-01 0.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 7.971260e-02
# Aref        : 9.565510e-03
# CofR        : (1.992810e-02 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.321266e+00	-1.095166e+00	2.416432e+00	2.939079e+00	-1.225365e-02	2.951332e+00	-1.481793e+00	-1.755799e+00	7.532608e-01	-4.544711e-02	7.305372e-01	-7.759843e-01
2             	7.334489e-01	-7.080313e-01	1.441480e+00	1.750898e+00	2.259047e-01	1.524994e+00	-6.495444e-01	-1.074756e+00	4.271189e-01	-4.895812e-02	4.026399e-01	-4.515980e-01
3             	4.868506e-01	-5.851447e-01	1.071995e+00	1.327136e+00	3.117835e-01	1.015352e+00	-3.517844e-01	-8.285700e-01	2.857146e-01	-5.970516e-02	2.558621e-01	-3.155672e-01
4             	3.945468e-01	-5.744583e-01	9.690051e-01	1.228154e+00	3.355332e-01	8.926211e-01	-2.785439e-01	-7.717317e-01	2.306774e-01	-7.160338e-02	1.948757e-01	-2.664791e-01
5             	3.468120e-01	-5.908356e-01	9.376475e-01	1.207930e+00	3.512866e-01	8.566434e-01	-2.526784e-01	-7.642415e-01	2.017792e-01	-8.313817e-02	1.602101e-01	-2.433483e-01
6             	3.186893e-01	-6.110353e-01	9.297246e-01	1.211299e+00	3.616053e-01	8.496939e-01	-2.440443e-01	-7.703800e-01	1.843003e-01	-9.286434e-02	1.378681e-01	-2.307325e-01
7             	2.999326e-01	-6.278997e-01	9.278323e-01	1.217821e+00	3.676864e-01	8.501350e-01	-2.412243e-01	-7.778660e-01	1.725217e-01	-1.004605e-01	1.222915e-01	-2.227520e-01
8             	2.872401e-01	-6.415144e-01	9.287545e-01	1.224834e+00	3.723148e-01	8.525194e-01	-2.401023e-01	-7.851345e-01	1.645717e-01	-1.063054e-01	1.114190e-01	-2.177244e-01
9             	2.788346e-01	-6.523183e-01	9.311529e-01	1.231114e+00	3.758156e-01	8.552981e-01	-2.397413e-01	-7.917356e-01	1.595518e-01	-1.106452e-01	1.042292e-01	-2.148744e-01
10            	2.737846e-01	-6.614377e-01	9.352223e-01	1.237825e+00	3.789350e-01	8.588900e-01	-2.399775e-01	-7.983300e-01	1.569302e-01	-1.137626e-01	1.000489e-01	-2.138116e-01
